עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
8,כוכב ספן,57,נשואה בשנית+4,גבעתיים,נ,31,5,1
8,חיים שועי,26,בזוגיות,בית שאן,ז,101,14,1
8,אסתר ליברזון נמר,36,נשואה בשנית+3,כפר סבא,נ,10,2,1
8,שם ברדוגו,30,בזוגיות,תל אביב,ז,66,10,1
8,מעיין אשכנזי,25,רווקה,הרצליה,נ,101,14,1
8,אנדל קבדה,25,רווק,אשדוד,ז,80,12,1
8,עדן סבן,21,רווקה,אשדוד,נ,80,12,1
8,אביחי אוחנה,27,רווק,אילת,ז,101,14,1
8,תהילה אסודרי,32,בזוגיות,רמת גן,נ,17,3,1
8,חזי חיים,36,רווק,תל אביב,ז,24,4,1
8,תאלין אבו חנא,22,בזוגיות,תל אביב,נ,52,8,1
8,דן רושנסקי,28,רווק,תל אביב,ז,94,14,1
8,אורנה דנינו,37,גרושה+2,פתח תקווה,נ,99,14,1
8,שני גולדשטיין,25,רווקה,תל אביב,נ,101,14,1
8,ג'ודי עמר,24,רווקה,ירושלים,נ,28,13,9
8,שרון גל,42,גרוש+2,גבעת שמואל,ז,101,14,9
8,אנסטסיה טל,23,רווקה+1,נתניה,נ,14,11,9
8,עומר גורדון,36,גרוש,חיפה,ז,35,14,9
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
9,אליאב רחמים,22,רווק,קריית גת,ז,120,15,1
9,לירז אסייג,35,גרושה,פתח תקווה,נ,65,9,1
9,ישראל אוגלבו,27,רווק,תל אביב,ז,120,15,1
9,מגי טביבי,24,בזוגיות,חולון,נ,58,8,1
9,מירב ישראל,38,נשואה+2,נתניה,נ,120,15,1
9,רועי קורנבלום,23,רווק,הוד השרון,ז,113,15,1
9,מריה דומרק,22,בזוגיות,קריית אונו,נ,120,15,1
9,אילן קורן,56,נשוי+3,כפר סבא,ז,19,3,1
9,שמס מרעי אבומוך,35,נשואה+3,באקה אל גרבייה,נ,30,4,1
9,אינה סטיוארט,32,רווקה,תל אביב,נ,12,2,1
9,תמי מונטג,28,גרושה+1,רמת גן,נ,35,5,1
9,טאי שרקי,25,רווק,הרצליה,ז,10,2,1
9,סמואל חגאי,35,גרוש,ניו יורק,ז,36,5,1
9,אורלי יחזקאל,58,נשואה+1,בת ים,נ,40,6,1
9,תומר רוטשילד,25,בזוגיות,תל אביב,ז,80,11,1
9,לירון אופיר,25,בזוגיות,חיפה,ז,43,6,1
9,סימה מיימון בכר,42,נשואה+3,מיאמי,נ,92,12,1
9,אביבית בר זוהר,36,רווקה,תל אביב,נ,85,15,6
9,אדל בספלוב,25,בזוגיות,תל אביב,נ,78,15,6
9,אלי זרקה,30,רווק,קוסטה ריקה,ז,48,13,8
9,דניאל גרינברג,24,רווקה,מיתר,נ,54,14,8
9,"משה ""מושיקו"" פסל",28,בזוגיות,גבעתיים,ז,33,11,8
9,עמוס חלפון,55,נשוי בשלישית+4,נופך,ז,47,13,8
9,בר סנדלר,24,רווקה,ראשון לציון,נ,23,10,8
9,נטע ברזני,20,רווקה,ירושלים,נ,5,7,6
9,"לירון ""טילטיל"" אורפלי",43,נשוי+2,תל אביב,ז,5,7,6
9,עמרי בן נתן,32,רווק,קריית אונו,ז,5,7,6
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
3VIP,עדי לאון,43,נשוי+3,חולון,ז,50,7,1
3VIP,הישאם סלימאן,41,נשוי+3,נוף הגליל,ז,40,6,1
3VIP,אורלי רביבו,42,רווקה,תל אביב,נ,47,7,1
3VIP,בן זיני,22,בזוגיות,תל אביב,ז,50,7,1
3VIP,נרי ליבנה,65,גרושה+3,תל אביב,נ,36,6,1
3VIP,אביבה תבורי,45,גרושה+4,תל אביב,נ,23,4,1
3VIP,לירן שטראובר,44,גרוש בשנית+3,יגל,ז,43,7,1
3VIP,עדן יוחנן,29,רווקה,תל אביב,נ,33,5,1
3VIP,אסף גורן,27,רווק,לוס אנג'לס,ז,50,7,1
3VIP,ויקי כנפו,59,גרושה+3,מצפה רמון,נ,47,7,1
3VIP,רומי נסט,22,רווקה,רמת השרון,נ,15,3,1
3VIP,גילי מוסינזון,40,גרוש+2,תל אביב,ז,8,2,1
3VIP,נטלי דדון,35,רווקה+1,תל אביב,נ,50,7,1
3VIP,אורי גרוס,44,בזוגיות+2,תל אביב,ז,29,5,1
3VIP,שי חי,35,נשוי בשנית+2,רמת השרון,ז,50,7,1
